name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Hanoi,2015-10-01 00:00:00,29.0,33.6,24.0,74.47,0.0,0,,0.0,0.0,6.5,8.5,135.0,1012.0,0.0,5.0,0.0,0.0,0.0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2015-10-01 01:00:00,28.1,33.4,25.6,86.05,0.0,0,,0.0,0.0,6.5,7.6,65.0,1012.2,1.5,9.0,0.0,0.0,0.0,,Clear,clear-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-10-01 02:00:00,28.0,32.7,25.0,83.79,0.0,0,,0.0,0.0,6.8,9.4,55.0,1012.0,0.0,3.0,0.0,0.0,0.0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2015-10-01 03:00:00,27.5,31.7,25.0,86.27,0.0,0,,0.0,0.0,5.8,7.4,60.0,1012.0,0.0,3.0,0.0,0.0,0.0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2015-10-01 04:00:00,27.8,33.0,25.9,89.58,0.0,0,,0.0,0.0,5.8,5.3,75.0,1012.1,78.5,8.6,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2015-10-01 05:00:00,27.0,30.6,25.0,88.84,0.0,0,,0.0,0.0,6.1,8.5,85.0,1012.0,0.0,3.0,0.0,0.0,0.0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2015-10-01 06:00:00,27.5,31.7,25.0,86.27,0.0,0,,0.0,0.0,7.2,9.4,35.0,1013.0,0.0,3.0,0.8,0.0,0.0,,Clear,clear-day,"48820099999,VVNB"
Hanoi,2015-10-01 07:00:00,28.0,33.9,26.3,90.2,0.0,0,,0.0,0.0,11.9,5.0,112.0,1014.0,70.6,4.6,72.8,0.3,1.0,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-10-01 08:00:00,29.5,34.9,24.5,74.55,0.0,0,,0.0,0.0,13.3,8.5,15.0,1015.0,25.0,5.0,223.2,0.8,2.0,,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2015-10-01 09:00:00,31.0,37.1,24.5,68.4,0.0,0,,0.0,0.0,19.4,7.6,15.0,1015.0,0.0,6.5,458.0,1.6,5.0,,Clear,clear-day,"48820099999,VVNB"
Hanoi,2015-10-01 10:00:00,31.9,39.7,25.4,68.59,0.0,0,,0.0,0.0,19.1,4.3,329.0,1015.0,78.1,9.5,633.7,2.3,6.0,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2015-10-01 11:00:00,32.5,38.0,23.5,59.16,0.1,100,rain,0.0,0.0,16.9,6.5,6.6,1014.0,73.7,7.0,735.1,2.6,7.0,,"Rain, Partially cloudy",rain,"48820099999,VVNB"
Hanoi,2015-10-01 12:00:00,33.0,38.6,23.5,57.52,0.2,100,rain,0.0,0.0,16.2,7.6,335.0,1012.0,60.5,10.0,829.4,3.0,8.0,,"Rain, Partially cloudy",rain,"48820099999,VVNB"
Hanoi,2015-10-01 13:00:00,32.9,39.4,24.3,60.76,0.0,0,,0.0,0.0,19.1,6.8,321.0,1012.1,89.1,10.3,667.9,2.4,7.0,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-10-01 14:00:00,34.1,38.4,22.1,49.67,0.0,0,,0.0,0.0,20.2,9.4,40.0,1011.0,22.9,,516.4,1.9,5.0,,Partially cloudy,partly-cloudy-day,48820099999
Hanoi,2015-10-01 15:00:00,33.5,37.7,22.0,51.06,0.0,0,,0.0,0.0,20.2,6.5,350.0,1010.0,32.5,10.0,564.3,2.0,6.0,,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2015-10-01 16:00:00,33.0,39.6,24.2,59.79,0.0,0,,0.0,0.0,19.1,7.0,240.0,1009.9,80.0,10.2,259.6,0.9,3.0,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2015-10-01 17:00:00,32.0,36.8,23.0,59.04,0.2,100,rain,0.0,0.0,16.2,5.4,10.0,1010.0,0.0,8.0,149.8,0.5,1.0,,Rain,rain,"48820099999,VVNB"
Hanoi,2015-10-01 18:00:00,31.1,35.6,23.1,62.51,0.6,100,rain,0.0,0.0,17.3,5.4,266.3,1011.0,0.0,4.0,19.5,0.1,0.0,,Rain,rain,48820099999
Hanoi,2015-10-01 19:00:00,30.5,38.7,26.3,78.18,0.0,0,,0.0,0.0,11.5,1.7,357.0,1011.8,67.7,8.3,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-10-01 20:00:00,29.0,34.5,25.0,79.06,1.0,100,rain,0.0,0.0,12.2,13.0,360.0,1013.0,57.5,2.5,0.0,0.0,0.0,,"Rain, Partially cloudy",rain,"48820099999,VVNB"
Hanoi,2015-10-01 21:00:00,24.0,24.0,21.5,85.93,2.2,100,rain,0.0,0.0,13.3,27.9,160.0,1014.0,89.0,6.0,0.0,0.0,0.0,,"Rain, Partially cloudy",rain,"48820099999,VVNB"
Hanoi,2015-10-01 22:00:00,25.1,25.1,22.6,86.18,0.0,0,,0.0,0.0,15.8,7.8,324.0,1014.1,97.5,9.6,0.0,0.0,0.0,,Overcast,cloudy,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2015-10-01 23:00:00,24.5,24.5,22.0,85.98,1.3,100,rain,0.0,0.0,16.9,10.3,210.0,1014.0,89.0,10.0,0.0,0.0,0.0,,"Rain, Partially cloudy",rain,"48820099999,VVNB"
Hanoi,2015-10-02 00:00:00,24.5,24.5,22.5,88.64,0.0,0,,0.0,0.0,17.3,13.9,290.0,1014.0,89.0,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2015-10-02 01:00:00,25.2,25.2,23.8,92.21,8.843,100,rain,0.0,0.0,18.0,11.5,315.0,1013.5,97.4,9.3,0.0,0.0,0.0,,"Rain, Overcast",rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2015-10-02 02:00:00,25.0,25.0,24.0,94.19,0.0,0,,0.0,0.0,21.6,13.9,295.0,1012.0,89.0,5.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
