name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Guiyang,2015-10-01,20.1,13.8,18.3,20.1,13.8,18.3,17.4,94.6,52.3,100,12.5,rain,0.0,0.0,51.1,21.6,8.3,1020.7,98.6,9.6,45.0,4.0,2,,2015-10-01T06:45:33,2015-10-01T18:40:45,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"ZUGY,57816099999"
Guiyang,2015-10-02,26.0,13.0,18.7,26.0,13.0,18.7,15.4,82.3,0.0,0,0.0,,0.0,0.0,36.0,21.6,171.1,1018.1,69.2,12.0,170.0,14.7,7,,2015-10-02T06:46:00,2015-10-02T18:39:39,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
Guiyang,2015-10-03,20.0,15.4,17.3,20.0,15.4,17.3,16.5,95.3,4.6,100,16.67,rain,0.0,0.0,24.5,14.4,29.7,1019.2,99.1,6.1,46.1,3.8,2,,2015-10-03T06:46:28,2015-10-03T18:38:33,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"ZUGY,57816099999"
Guiyang,2015-10-04,18.0,14.7,15.9,18.0,14.7,15.9,14.6,92.1,0.6,100,4.17,rain,0.0,0.0,35.6,18.0,15.1,1023.2,99.0,5.7,137.8,11.9,5,,2015-10-04T06:46:56,2015-10-04T18:37:28,0.7,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"ZUGY,57816099999"
Guiyang,2015-10-05,16.0,13.9,14.9,16.0,13.9,14.9,14.8,99.7,10.6,100,16.67,rain,0.0,0.0,41.8,14.5,14.0,1020.5,99.0,5.5,33.9,3.0,2,,2015-10-05T06:47:24,2015-10-05T18:36:22,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"ZUGY,57816099999"
Guiyang,2015-10-06,19.0,14.0,16.3,19.0,14.0,16.3,15.3,94.3,4.5,100,8.33,rain,0.0,0.0,24.5,7.3,28.0,1017.2,100.0,7.2,71.4,6.2,3,,2015-10-06T06:47:52,2015-10-06T18:35:18,0.77,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"ZUGY,57816099999"
Guiyang,2015-10-07,20.0,15.7,17.5,20.0,15.7,17.5,16.0,91.2,0.3,100,8.33,rain,0.0,0.0,28.4,10.8,2.4,1018.6,100.0,9.4,76.4,6.8,3,,2015-10-07T06:48:21,2015-10-07T18:34:14,0.8,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"ZUGY,57816099999"
Guiyang,2015-10-08,18.5,14.5,16.9,18.5,14.5,16.9,16.6,97.8,5.0,100,8.33,rain,0.0,0.0,17.3,10.8,11.8,1018.8,100.0,6.1,45.8,3.9,2,,2015-10-08T06:48:50,2015-10-08T18:33:10,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"ZUGY,57816099999"
Guiyang,2015-10-09,15.0,11.0,13.3,15.0,11.0,13.3,12.8,97.1,20.5,100,16.67,rain,0.0,0.0,22.0,10.8,35.0,1020.8,100.0,5.5,33.1,3.0,1,,2015-10-09T06:49:19,2015-10-09T18:32:07,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"ZUGY,57816099999"
Guiyang,2015-10-10,15.1,10.8,12.3,15.1,10.8,12.3,11.7,96.0,42.1,100,20.83,rain,0.0,0.0,25.2,7.2,1.5,1022.8,83.1,7.2,58.8,5.0,3,,2015-10-10T06:49:49,2015-10-10T18:31:04,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"ZUGY,57816099999"
Guiyang,2015-10-11,21.0,9.0,13.9,21.0,9.0,13.9,10.4,82.6,0.0,0,0.0,,0.0,0.0,22.7,10.8,42.8,1025.1,70.7,6.6,230.5,19.9,8,,2015-10-11T06:50:19,2015-10-11T18:30:02,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
Guiyang,2015-10-12,22.0,7.0,14.1,22.0,7.0,14.0,8.8,75.0,0.0,0,0.0,,0.0,0.0,24.1,10.8,95.2,1024.5,60.9,8.1,201.9,17.4,8,,2015-10-12T06:50:49,2015-10-12T18:29:01,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
Guiyang,2015-10-13,20.0,12.0,15.6,20.0,12.0,15.6,11.5,77.9,0.0,0,0.0,,0.0,0.0,30.2,18.0,186.7,1023.4,86.8,11.0,153.4,13.2,6,,2015-10-13T06:51:20,2015-10-13T18:28:00,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
Guiyang,2015-10-14,24.0,12.0,17.0,24.0,12.0,17.0,12.2,76.6,0.0,0,0.0,,0.0,0.0,15.8,12.7,30.3,1022.1,35.4,9.6,216.1,18.6,8,,2015-10-14T06:51:51,2015-10-14T18:27:00,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
Guiyang,2015-10-15,26.0,9.0,17.2,26.0,9.0,17.2,11.4,73.3,0.0,0,0.0,,0.0,0.0,15.5,10.9,37.7,1020.5,9.5,8.8,224.4,19.4,8,,2015-10-15T06:52:23,2015-10-15T18:26:00,0.07,Clear,Clear conditions throughout the day.,clear-day,"ZUGY,57816099999"
Guiyang,2015-10-16,26.0,10.0,17.8,26.0,10.0,17.8,13.2,77.4,0.0,0,0.0,,0.0,0.0,31.0,10.8,161.8,1019.0,24.4,10.0,202.8,17.6,8,,2015-10-16T06:52:55,2015-10-16T18:25:01,0.11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZUGY,57816099999"
Guiyang,2015-10-17,26.0,13.0,19.2,26.0,13.0,19.2,15.5,80.9,0.0,0,0.0,,0.0,0.0,27.7,21.6,145.8,1018.2,48.3,9.1,169.5,14.6,7,,2015-10-17T06:53:27,2015-10-17T18:24:03,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
Guiyang,2015-10-18,22.0,16.0,17.9,22.0,16.0,17.9,16.2,90.5,11.0,100,12.5,rain,0.0,0.0,21.6,14.4,28.3,1019.5,90.3,6.0,90.1,7.8,4,,2015-10-18T06:54:00,2015-10-18T18:23:06,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"ZUGY,57816099999"
Guiyang,2015-10-19,22.0,14.0,17.8,22.0,14.0,17.8,15.4,86.4,0.0,0,0.0,,0.0,0.0,20.9,10.8,37.0,1017.7,70.4,6.3,170.3,14.5,6,,2015-10-19T06:54:33,2015-10-19T18:22:09,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
Guiyang,2015-10-20,27.0,12.0,17.2,26.8,12.0,17.2,12.9,80.0,0.0,0,0.0,,0.0,0.0,17.3,10.9,74.9,1015.0,50.2,5.8,183.6,15.9,7,,2015-10-20T06:55:07,2015-10-20T18:21:14,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
Guiyang,2015-10-21,27.0,11.0,18.1,27.0,11.0,18.1,13.4,77.4,0.0,0,0.0,,0.0,0.0,29.9,14.4,175.3,1015.3,42.5,7.5,192.8,16.6,7,,2015-10-21T06:55:41,2015-10-21T18:20:19,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
Guiyang,2015-10-22,26.0,11.0,18.1,26.0,11.0,18.1,13.8,78.9,0.0,0,0.0,,0.0,0.0,37.1,18.0,179.2,1016.7,40.7,7.4,163.7,14.2,7,,2015-10-22T06:56:15,2015-10-22T18:19:25,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
