name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Hanoi,2024-05-28 00:00:00,32.0,39.2,25.0,66.58,0.0,0,,0,0,9.7,3.6,231.7,1001.0,0.0,10.0,0.0,0.0,0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2024-05-28 01:00:00,30.7,39.3,26.5,78.5,0.0,0,,0,0,10.8,1.3,41.0,1001.1,87.9,10.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-05-28 02:00:00,30.0,37.4,26.0,79.2,0.0,0,,0,0,9.0,5.4,30.0,1001.0,100.0,10.0,0.0,0.0,0,,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2024-05-28 03:00:00,29.0,36.8,27.0,88.99,0.0,0,,0,0,8.3,7.6,50.0,1000.0,0.0,10.0,0.0,0.0,0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2024-05-28 04:00:00,29.8,38.7,27.1,85.37,0.0,0,,0,0,10.4,2.9,50.0,1000.2,87.8,9.8,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2024-05-28 05:00:00,29.0,36.8,27.0,88.99,0.0,0,,0,0,13.0,7.6,50.0,1000.0,0.0,9.0,0.0,0.0,0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2024-05-28 06:00:00,29.0,36.8,27.0,88.99,0.0,0,,0,0,12.2,9.4,60.0,1001.0,0.0,9.0,10.8,0.0,0,,Clear,clear-day,"48820099999,VVNB"
Hanoi,2024-05-28 07:00:00,30.4,39.4,26.9,81.4,0.0,0,,0,0,15.1,4.8,82.0,1002.2,87.9,9.7,74.3,0.3,1,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-05-28 08:00:00,30.0,40.4,28.0,89.07,0.0,0,,0,0,16.2,11.2,60.0,1003.0,27.5,10.0,185.4,0.7,2,,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2024-05-28 09:00:00,30.0,40.4,28.0,89.07,0.0,0,,0,0,15.8,14.8,50.0,1003.0,27.5,10.0,328.7,1.2,3,,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2024-05-28 10:00:00,33.3,43.6,26.6,68.18,0.0,0,,0,0,15.8,6.1,155.0,1002.9,76.5,10.1,512.1,1.8,5,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2024-05-28 11:00:00,33.0,45.8,28.0,75.11,0.1,100,rain,0,0,17.6,11.2,60.0,1002.0,27.5,10.0,478.5,1.7,5,,"Rain, Partially cloudy",rain,"48820099999,VVNB"
Hanoi,2024-05-28 12:00:00,34.0,47.3,28.0,71.01,0.1,100,rain,0,0,28.8,11.2,70.0,1002.0,27.5,10.0,686.5,2.5,7,,"Rain, Partially cloudy",rain,"48820099999,VVNB"
Hanoi,2024-05-28 13:00:00,34.1,44.5,26.5,64.54,0.0,0,,0,0,28.4,4.5,358.0,1001.1,76.7,10.3,487.3,1.8,5,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-05-28 14:00:00,33.0,43.8,27.0,70.84,0.0,0,,0,0,10.1,7.6,30.0,1000.0,100.0,10.0,417.1,1.5,4,,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2024-05-28 15:00:00,34.0,47.3,28.0,71.01,0.0,0,,0,0,11.5,5.4,350.0,1000.0,27.5,10.0,506.8,1.8,5,,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2024-05-28 16:00:00,34.7,45.4,26.5,62.4,0.0,0,,0,0,11.2,7.7,305.0,999.3,76.5,10.1,238.7,0.9,2,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2024-05-28 17:00:00,35.0,44.9,26.0,59.73,0.0,0,,0,0,11.9,5.4,260.0,999.0,96.5,10.0,217.9,0.8,2,,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2024-05-28 18:00:00,33.0,42.1,26.0,66.78,0.0,0,,0,0,10.4,5.4,330.0,999.0,90.1,10.0,132.4,0.5,1,,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2024-05-28 19:00:00,32.7,41.6,25.9,67.56,0.0,0,,0,0,13.3,4.3,219.0,999.9,90.0,10.1,9.8,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-05-28 20:00:00,32.0,42.3,27.0,74.95,0.0,0,,0,0,19.8,3.6,108.9,1000.0,100.0,10.0,0.0,0.0,0,,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2024-05-28 21:00:00,32.0,42.3,27.0,74.95,0.0,0,,0,0,20.9,3.6,111.4,1001.0,100.0,10.0,0.0,0.0,0,,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2024-05-28 22:00:00,31.1,40.4,26.7,77.55,0.0,0,,0,0,19.4,1.3,102.0,1001.6,79.3,10.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2024-05-28 23:00:00,31.0,42.4,28.0,84.11,0.0,0,,0,0,16.2,13.0,80.0,1002.0,0.0,9.0,0.0,0.0,0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2024-05-29 00:00:00,30.0,40.4,28.0,89.07,0.0,0,,0,0,13.7,16.6,110.0,1002.0,96.0,10.0,0.0,0.0,0,,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2024-05-29 01:00:00,29.9,41.1,28.5,92.16,0.0,0,,0,0,12.6,8.4,93.0,1001.4,89.3,10.1,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-05-29 02:00:00,29.0,38.2,28.0,94.36,0.0,0,,0,0,16.6,16.6,90.0,1001.0,89.0,10.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
Hanoi,2024-05-29 03:00:00,29.0,36.8,27.0,88.99,0.0,0,,0,0,14.0,20.5,100.0,1001.0,100.0,10.0,0.0,0.0,0,,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2024-05-29 04:00:00,29.1,37.7,27.4,90.64,0.0,0,,0,0,11.2,6.0,133.0,1000.8,88.7,10.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2024-05-29 05:00:00,29.0,36.8,27.0,88.99,0.0,0,,0,0,9.4,11.2,100.0,1001.0,100.0,10.0,0.0,0.0,0,,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2024-05-29 06:00:00,29.0,36.8,27.0,88.99,0.0,0,,0,0,8.6,11.2,120.0,1001.0,100.0,10.0,18.8,0.1,0,,Overcast,cloudy,"48820099999,VVNB"
Hanoi,2024-05-29 07:00:00,29.3,38.1,27.5,90.11,0.0,0,,0,0,13.3,5.4,133.0,1002.1,81.3,10.3,134.1,0.5,1,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2024-05-29 08:00:00,31.0,40.6,27.0,79.33,0.0,0,,0,0,16.2,13.0,110.0,1003.0,89.0,9.0,263.1,0.9,3,,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2024-05-29 09:00:00,31.0,42.4,28.0,84.11,0.0,0,,0,0,16.2,13.0,110.0,1003.0,89.0,10.0,527.7,1.9,5,,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
Hanoi,2024-05-29 10:00:00,32.7,45.0,27.9,76.04,0.0,0,,0,0,15.1,8.5,133.0,1002.6,89.4,10.1,640.0,2.3,6,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2024-05-29 11:00:00,33.0,43.8,27.0,70.84,0.0,0,,0,0,15.1,11.2,120.0,1002.0,50.0,10.0,724.2,2.6,7,,Partially cloudy,partly-cloudy-day,"48820099999,VVNB"
