name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,tempmax,tempmin,feelslikemax,feelslikemin,precipcover,sunrise,sunset,moonphase,description
Hanoi,2018-09-04 00:00:00,25.5,25.5,25.5,100.0,0.0,0,,0,0,6.8,3.6,349.5,1006.0,37.5,9.5,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 01:00:00,25.4,25.4,24.5,94.97,0.0,0,,0,0,7.2,3.8,283.0,1006.3,73.3,10.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,48831099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 02:00:00,25.5,25.5,25.5,100.0,0.0,0,,0,0,8.3,2.7,330.0,1006.0,89.0,9.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 03:00:00,26.0,26.0,26.0,100.0,0.0,0,,0,0,10.1,0.0,0.0,1006.0,89.0,10.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 04:00:00,25.6,25.6,24.3,92.46,0.0,0,,0,0,10.8,0.7,360.0,1005.8,82.2,10.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,48823099999,48825099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 05:00:00,25.5,25.5,25.5,100.0,0.0,0,,0,0,9.4,1.8,40.0,1006.0,59.0,8.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 06:00:00,26.0,26.0,26.0,100.0,0.0,0,,0,0,9.7,3.6,335.0,1007.0,89.0,5.5,1.2,0.0,0,,Partially cloudy,partly-cloudy-day,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 07:00:00,25.8,25.8,24.8,94.18,0.0,0,,0,0,10.8,0.5,359.0,1007.0,51.6,9.8,22.0,0.1,0,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 08:00:00,28.0,34.0,26.5,91.58,0.3,100,rain,0,0,13.0,4.5,40.0,1008.0,89.0,9.0,115.7,0.4,1,,"Rain, Partially cloudy",rain,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 09:00:00,29.5,37.2,26.5,83.95,0.2,100,rain,0,0,14.8,5.4,10.0,1008.0,89.0,10.0,338.7,1.2,3,,"Rain, Partially cloudy",rain,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 10:00:00,29.1,34.5,24.8,77.38,0.0,0,,0,0,13.7,10.1,244.0,1007.4,81.0,10.0,433.4,1.6,4,,Partially cloudy,partly-cloudy-day,"48823099999,48825099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 11:00:00,30.5,35.3,23.5,66.28,0.1,100,rain,0,0,14.4,3.6,3.2,1007.0,50.0,10.0,728.2,2.6,7,,"Rain, Partially cloudy",rain,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 12:00:00,31.5,37.2,24.0,64.52,0.1,100,rain,0,0,15.1,4.5,310.0,1006.0,50.0,10.0,735.5,2.6,7,,"Rain, Partially cloudy",rain,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 13:00:00,32.5,39.0,24.3,62.14,0.0,0,,0,0,15.5,9.8,120.0,1005.3,73.0,10.3,802.1,2.9,8,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 14:00:00,32.0,37.9,24.0,62.71,0.1,100,rain,0,0,17.3,4.5,20.0,1004.0,50.0,10.0,760.6,2.7,8,,"Rain, Partially cloudy",rain,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 15:00:00,32.5,38.6,24.0,60.97,0.1,100,rain,0,0,17.3,6.5,70.0,1003.0,50.0,10.0,660.1,2.4,7,,"Rain, Partially cloudy",rain,"48820099999,VVNB",,,,,,,,,
Hanoi,2018-09-04 16:00:00,33.0,39.9,24.4,60.76,0.0,0,,0,0,16.9,4.5,127.0,1003.3,75.6,10.1,445.1,1.6,4,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB",,,,,,,,,
