k,model,R2_mean,R2_per_target,MAE_mean,RMSE_mean,features,top_10_features
93,CatBoost,0.820512,target5+:0.7681 | target4+:0.7792 | target3+:0.8022 | target2+:0.8377 | target1+:0.9153,1.681132,2.153567,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change | day_avg_moonphase_cos | rolling_3_cloudcover | rolling_7_wind_u_change | season_avg_weighted_precip | rolling_21_windspeed_change | rolling_30_sealevelpressure_change | rolling_21_windgust_change | sealevelpressure_lag_21 | season_avg_wind_v | month_avg_precipcover | season_avg_precip | year_avg_day_length_hours | month_avg_feelslikemin | feelslike_lag_14 | rolling_30_tempmin | effective_solar | rolling_30_solarenergy | pressure_trend_3d | temp_sealevelpressure_interaction_lag_10 | rolling_7_windgust_change | rolling_7_wind_v_change | day_avg_temp_range | temp_sealevelpressure_interaction_lag_14 | rolling_30_solarradiation | rolling_14_uv_temp_interaction | day_avg_temp | year_avg_humidity | rolling_21_uvindex,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
59,CatBoost,0.819816,target5+:0.7643 | target4+:0.7808 | target3+:0.8011 | target2+:0.8388 | target1+:0.9141,1.670263,2.157734,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
63,CatBoost,0.818483,target5+:0.7658 | target4+:0.7744 | target3+:0.7957 | target2+:0.8395 | target1+:0.9170,1.68017,2.165686,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
92,CatBoost,0.818058,target5+:0.7664 | target4+:0.7760 | target3+:0.7963 | target2+:0.8379 | target1+:0.9137,1.691151,2.168232,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change | day_avg_moonphase_cos | rolling_3_cloudcover | rolling_7_wind_u_change | season_avg_weighted_precip | rolling_21_windspeed_change | rolling_30_sealevelpressure_change | rolling_21_windgust_change | sealevelpressure_lag_21 | season_avg_wind_v | month_avg_precipcover | season_avg_precip | year_avg_day_length_hours | month_avg_feelslikemin | feelslike_lag_14 | rolling_30_tempmin | effective_solar | rolling_30_solarenergy | pressure_trend_3d | temp_sealevelpressure_interaction_lag_10 | rolling_7_windgust_change | rolling_7_wind_v_change | day_avg_temp_range | temp_sealevelpressure_interaction_lag_14 | rolling_30_solarradiation | rolling_14_uv_temp_interaction | day_avg_temp | year_avg_humidity,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
90,CatBoost,0.818002,target5+:0.7681 | target4+:0.7767 | target3+:0.7959 | target2+:0.8348 | target1+:0.9145,1.680229,2.16857,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change | day_avg_moonphase_cos | rolling_3_cloudcover | rolling_7_wind_u_change | season_avg_weighted_precip | rolling_21_windspeed_change | rolling_30_sealevelpressure_change | rolling_21_windgust_change | sealevelpressure_lag_21 | season_avg_wind_v | month_avg_precipcover | season_avg_precip | year_avg_day_length_hours | month_avg_feelslikemin | feelslike_lag_14 | rolling_30_tempmin | effective_solar | rolling_30_solarenergy | pressure_trend_3d | temp_sealevelpressure_interaction_lag_10 | rolling_7_windgust_change | rolling_7_wind_v_change | day_avg_temp_range | temp_sealevelpressure_interaction_lag_14 | rolling_30_solarradiation | rolling_14_uv_temp_interaction,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
84,CatBoost,0.817963,target5+:0.7632 | target4+:0.7739 | target3+:0.7995 | target2+:0.8385 | target1+:0.9147,1.68516,2.168794,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change | day_avg_moonphase_cos | rolling_3_cloudcover | rolling_7_wind_u_change | season_avg_weighted_precip | rolling_21_windspeed_change | rolling_30_sealevelpressure_change | rolling_21_windgust_change | sealevelpressure_lag_21 | season_avg_wind_v | month_avg_precipcover | season_avg_precip | year_avg_day_length_hours | month_avg_feelslikemin | feelslike_lag_14 | rolling_30_tempmin | effective_solar | rolling_30_solarenergy | pressure_trend_3d | temp_sealevelpressure_interaction_lag_10,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
99,CatBoost,0.817955,target5+:0.7677 | target4+:0.7779 | target3+:0.7982 | target2+:0.8362 | target1+:0.9097,1.693609,2.168866,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change | day_avg_moonphase_cos | rolling_3_cloudcover | rolling_7_wind_u_change | season_avg_weighted_precip | rolling_21_windspeed_change | rolling_30_sealevelpressure_change | rolling_21_windgust_change | sealevelpressure_lag_21 | season_avg_wind_v | month_avg_precipcover | season_avg_precip | year_avg_day_length_hours | month_avg_feelslikemin | feelslike_lag_14 | rolling_30_tempmin | effective_solar | rolling_30_solarenergy | pressure_trend_3d | temp_sealevelpressure_interaction_lag_10 | rolling_7_windgust_change | rolling_7_wind_v_change | day_avg_temp_range | temp_sealevelpressure_interaction_lag_14 | rolling_30_solarradiation | rolling_14_uv_temp_interaction | day_avg_temp | year_avg_humidity | rolling_21_uvindex | sealevelpressure_lag_5 | rolling_14_weighted_precip | sealevelpressure_lag_3 | rolling_3_dew_change | rolling_30_precipprob | rolling_14_temp_sealevelpressure_interaction_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
70,CatBoost,0.817596,target5+:0.7677 | target4+:0.7768 | target3+:0.7973 | target2+:0.8339 | target1+:0.9122,1.684619,2.170996,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change | day_avg_moonphase_cos | rolling_3_cloudcover | rolling_7_wind_u_change | season_avg_weighted_precip | rolling_21_windspeed_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
77,CatBoost,0.817536,target5+:0.7683 | target4+:0.7748 | target3+:0.7972 | target2+:0.8348 | target1+:0.9125,1.680189,2.171351,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change | day_avg_moonphase_cos | rolling_3_cloudcover | rolling_7_wind_u_change | season_avg_weighted_precip | rolling_21_windspeed_change | rolling_30_sealevelpressure_change | rolling_21_windgust_change | sealevelpressure_lag_21 | season_avg_wind_v | month_avg_precipcover | season_avg_precip | year_avg_day_length_hours,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
60,CatBoost,0.817272,target5+:0.7638 | target4+:0.7752 | target3+:0.7974 | target2+:0.8376 | target1+:0.9124,1.685544,2.172917,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
